lover;["soare", "rowth", "clonk", "lover"]
safer;["soare", "pheon", "safer"]
fable;["soare", "gault", "combe", "fable"]
shack;["soare", "thilk", "powin", "shack"]
dogma;["soare", "liman", "bodge", "dogma"]
cloak;["soare", "cloot", "cloak"]
mover;["soare", "rowth", "conky", "bleat", "mover"]
botch;["soare", "culty", "powin", "botch"]
wryly;["soare", "glint", "cried", "wryly"]
navel;["soare", "canal", "navel"]
rivet;["soare", "direr", "powin", "rivet"]
crawl;["soare", "clint", "crawl"]
spurt;["soare", "liths", "spurt"]
pixie;["soare", "guilt", "mened", "pixie"]
pesto;["soare", "powin", "pesto"]
rover;["soare", "rowth", "bodge", "rover"]
lousy;["soare", "thumb", "lousy"]
dizzy;["soare", "clint", "fudgy", "dizzy"]
quoth;["soare", "clint", "paged", "quoth"]
assay;["soare", "linty", "auloi", "assay"]
slain;["soare", "thilk", "powin", "slain"]
ocean;["soare", "sains", "ocean"]
bonus;["soare", "thumb", "bonus"]
defer;["soare", "direr", "sithe", "defer"]
sober;["soare", "powin", "sober"]
lithe;["soare", "guilt", "auloi", "lithe"]
cigar;["soare", "radar", "regna", "cigar"]
shalt;["soare", "thilk", "shalt"]
bloom;["soare", "clint", "bodge", "bloom"]
optic;["soare", "clint", "optic"]
irate;["soare", "diact", "irate"]
balmy;["soare", "clint", "dampy", "balmy"]
brook;["soare", "cutin", "gloop", "maiko", "brook"]
funny;["soare", "clint", "bodge", "funny"]
flash;["soare", "chals", "flash"]
smoke;["soare", "knelt", "powin", "smoke"]
penne;["soare", "guilt", "fitch", "penne"]
later;["soare", "talar", "later"]
rebut;["soare", "direr", "peece", "rebut"]
woken;["soare", "meynt", "vowel", "woken"]
cubic;["soare", "clint", "auloi", "cubic"]
raise;["soare", "auloi", "raise"]
crier;["soare", "direr", "crier"]
amend;["soare", "canal", "regna", "amend"]
mound;["soare", "culty", "bumph", "mound"]
sissy;["soare", "thilk", "powin", "sissy"]
wrack;["soare", "clint", "wrack"]
unwed;["soare", "denet", "powin", "unwed"]
silky;["soare", "thilk", "silky"]
jazzy;["soare", "clint", "podgy", "peaze", "jazzy"]
early;["soare", "talar", "early"]
undue;["soare", "guilt", "bodge", "undue"]
guide;["soare", "guilt", "guide"]
sedan;["soare", "dempt", "sedan"]
churn;["soare", "fitch", "churn"]
foist;["soare", "fubsy", "foist"]
cameo;["soare", "sains", "cameo"]
datum;["soare", "clint", "fabby", "datum"]
wreck;["soare", "direr", "peece", "wreck"]
vying;["soare", "clint", "bodge", "vying"]
nomad;["soare", "liman", "nomad"]
humph;["soare", "clint", "pudgy", "humph"]
weedy;["soare", "denet", "weedy"]
under;["soare", "direr", "along", "under"]
pagan;["soare", "clint", "myrrh", "pagan"]
fifty;["soare", "clint", "width", "kutch", "fifty"]
awake;["soare", "glitz", "heave", "powin", "awake"]
flute;["soare", "guilt", "flute"]
actor;["soare", "baron", "staid", "actor"]
sense;["soare", "pling", "sense"]
swine;["soare", "pling", "powin", "swine"]
dwelt;["soare", "denet", "dwelt"]
blush;["soare", "hists", "spiff", "blush"]
stump;["soare", "thilk", "grypt", "stump"]
slate;["soare", "thilk", "slate"]
lease;["soare", "teuch", "lease"]
giant;["soare", "clink", "giant"]
revue;["soare", "pudic", "bodge", "revue"]
focal;["soare", "liman", "frith", "focal"]
surly;["soare", "butch", "surly"]
build;["soare", "clint", "bodge", "build"]
piano;["soare", "piano"]
hippo;["soare", "clint", "powin", "hippo"]
shark;["soare", "kutch", "shark"]
smack;["soare", "thilk", "powin", "smack"]
solid;["soare", "pyoid", "solid"]
guile;["soare", "guilt", "guile"]
evade;["soare", "glitz", "heave", "evade"]
fraud;["soare", "clint", "yomps", "fraud"]
shelf;["soare", "clipt", "howfs", "shelf"]
amaze;["soare", "glitz", "amaze"]
lodge;["soare", "guile", "lodge"]
gusty;["soare", "hists", "modge", "gusty"]
legal;["soare", "canal", "tempi", "legal"]
harpy;["soare", "radar", "powin", "harpy"]
suing;["soare", "thilk", "unrig", "suing"]
scoop;["soare", "cloot", "scoop"]
hazel;["soare", "canal", "bight", "hazel"]
drier;["soare", "direr", "drier"]
rearm;["soare", "lathy", "bodge", "rearm"]
obese;["soare", "octal", "obese"]
coral;["soare", "mylar", "coral"]
wrist;["soare", "ticky", "wrist"]
witty;["soare", "clint", "witty", "witty"]
naval;["soare", "clint", "baals", "naval"]
serve;["soare", "peaze", "serve"]
equip;["soare", "denet", "lupus", "equip"]
heath;["soare", "depth", "heath"]
ramen;["soare", "talar", "yomps", "ramen"]
dwarf;["soare", "dhuti", "dwarf"]
bugle;["soare", "guilt", "bugle"]
fatal;["soare", "clint", "totty", "fatal"]
worth;["soare", "cyton", "powin", "worth"]
jolly;["soare", "culty", "dight", "joual", "jolly"]
model;["soare", "meynt", "auloi", "model"]
psalm;["soare", "chals", "psalm"]
globe;["soare", "plink", "bodge", "globe"]
tough;["soare", "culty", "bodge", "tough"]
karma;["soare", "radar", "yomps", "karma"]
canoe;["soare", "bundt", "canoe"]
chaos;["soare", "chaos"]
climb;["soare", "clint", "maiko", "climb"]
covet;["soare", "meynt", "covet"]
stink;["soare", "thilk", "powin", "stink"]
tawny;["soare", "clint", "tawny"]
wimpy;["soare", "clint", "fudgy", "powin", "wimpy"]
grade;["soare", "diact", "grade"]
infer;["soare", "direr", "frith", "infer"]
overt;["soare", "regna", "overt"]
chalk;["soare", "clink", "chalk"]
feast;["soare", "fluty", "feast"]
spoof;["soare", "cloot", "spunk", "spoof"]
flunk;["soare", "clint", "paged", "flunk"]
saner;["soare", "unmew", "saner"]
mayor;["soare", "baron", "vampy", "mayor"]
refer;["soare", "direr", "bleat", "refer"]
flint;["soare", "clint", "bodge", "flint"]
rouse;["soare", "rathe", "rouse"]
olden;["soare", "lento", "olden"]
human;["soare", "clint", "myrrh", "human"]
ruddy;["soare", "glint", "pyric", "ruddy"]
clerk;["soare", "feted", "auloi", "clerk"]
ovoid;["soare", "clint", "powin", "ovoid"]
began;["soare", "canal", "bodge", "began"]
quiet;["soare", "denet", "auloi", "quiet"]
prune;["soare", "pudic", "prune"]
debar;["soare", "talar", "bodge", "debar"]
blend;["soare", "denet", "powin", "blend"]
pedal;["soare", "canal", "tempi", "pedal"]
glide;["soare", "guilt", "glide"]
salsa;["soare", "dault", "salsa"]
scarf;["soare", "kutch", "yomps", "scarf"]
usage;["soare", "teuch", "usage"]
small;["soare", "thilk", "yomps", "small"]
poise;["soare", "pilum", "poise"]
udder;["soare", "direr", "along", "udder"]
slant;["soare", "thilk", "slant"]
randy;["soare", "radar", "powin", "randy"]
bench;["soare", "denet", "powin", "bench"]
civil;["soare", "clint", "civil"]
scoff;["soare", "cloot", "maiko", "scoff"]
torus;["soare", "turrs", "torus"]
abate;["soare", "glitz", "abate"]
vista;["soare", "linty", "vista"]
cruel;["soare", "direr", "pence", "cruel"]
tally;["soare", "clint", "totty", "tally"]
relax;["soare", "talar", "yomps", "relax"]
thick;["soare", "clint", "thick"]
cover;["soare", "rewth", "mucky", "liven", "cover"]
bleat;["soare", "canal", "tymps", "bleat"]
lunch;["soare", "clint", "auloi", "lunch"]
feign;["soare", "denet", "anigh", "feign"]
blast;["soare", "chals", "bodge", "blast"]
warty;["soare", "radar", "powin", "warty"]
stray;["soare", "pyric", "stray"]
alive;["soare", "gault", "liven", "alive"]
chuck;["soare", "clint", "powin", "chuck"]
major;["soare", "baron", "vampy", "major"]
ethic;["soare", "denet", "powin", "ethic"]
cairn;["soare", "march", "cairn"]
ninny;["soare", "clint", "ninny"]
death;["soare", "depth", "death"]
prank;["soare", "clint", "paged", "prank"]
fresh;["soare", "richt", "auloi", "fresh"]
covey;["soare", "meynt", "bodge", "covey"]
crust;["soare", "ticky", "crust"]
fishy;["soare", "hists", "fishy"]
tidal;["soare", "clint", "bodge", "tidal"]
tulle;["soare", "guilt", "tulle"]
stool;["soare", "cloot", "stool"]
manic;["soare", "clint", "powin", "manic"]
beech;["soare", "denet", "cloke", "beech"]
blare;["soare", "fable", "blare"]
manga;["soare", "clint", "myrrh", "manga"]
slush;["soare", "thilk", "slush"]
ghoul;["soare", "clint", "auloi", "ghoul"]
tooth;["soare", "culty", "thumb", "tooth"]
viper;["soare", "direr", "fling", "powin", "viper"]
colon;["soare", "culty", "colon"]
squib;["soare", "thilk", "powin", "squib"]
semen;["soare", "clipt", "meeds", "semen"]
abase;["soare", "teuch", "abase"]
marry;["soare", "march", "marry"]
melee;["soare", "guilt", "bodge", "melee"]
react;["soare", "octal", "react"]
spoon;["soare", "cloot", "spunk", "spoon"]
jetty;["soare", "denet", "falaj", "jetty"]
probe;["soare", "pownd", "bodge", "probe"]
taken;["soare", "canal", "sithe", "taken"]
moral;["soare", "mylar", "moral"]
vogue;["soare", "guile", "vogue"]
bliss;["soare", "hists", "bliss"]
crepe;["soare", "pudic", "crepe"]
ether;["soare", "direr", "butyl", "ether"]
vocal;["soare", "liman", "frith", "vocal"]
